title,keterangan,akses,filename,original_filename
"Peraturan Gubernur No. 180 Tahun 2015","Perubahan Keempat atas Peraturan Gubernur Nomor 109 Tahun 2011 tentang Kepengurusan Badan Usaha Milik Daerah",publik,rtxar/PHZ8YhjkV5gxUypd.pdf,"Pergub Nomor 180 Tahun 2015.pdf"
"Peraturan Gubernur Nomor 150 Tahun 2014","Tata Cara Penyetoran Hasil Kekayaan Daerah yang Dipisahkan",publik,rtxar/BJq63NRe7TAhYgUl.pdf,"Pergub Nomor 150 Tahun 2014.pdf"
"Peraturan Gubernur Nomor 5 Tahun 2018","Tata Cara Pengangkatan dan Pemberhentian Direksi Badan Usaha Milik Daerah dan Perusahaan Patungan",publik,rtxar/B9lVF3osDHPytchN.pdf,"Pergub Nomor 5 Tahun 2018.pdf"
"Peraturan Gubernur Nomor 19 Tahun 2018","Penyampaian Data, Dokumen dan Laporan Badan Usaha Milik Daerah secara Elektronik",publik,rtxar/nxNFytGaCjuqvE6H.pdf,"Pergub Nomor 19 Tahun 2018.pdf"
"Peraturan Gubernur Nomor 50 Tahun 2018","Tata Cara Pengangkatan dan Pemberhentian Anggota Dewan Pengawas dan Anggota Dewan Komisaris Badan Usaha Milik Daerah",publik,rtxar/At0CSgHY7fP2VNiq.pdf,"Pergub Nomor 50 Tahun 2018.pdf"
"Peraturan Gubernur Nomor 50 Tahun 2019","Pedoman Pengadaan Barang/Jasa Badan Usaha Milik Daerah",publik,rtxar/TA45bEJ2FormQqXu.pdf,"Pergub Nomor 50 Tahun 2019.pdf"
"Peraturan Gubernur No. 76 tahun 2019","Pedoman Penugasan kepada Badan Usaha Milik Daerah",publik,rtxar/eHkCfJT0OD7NiUn1.pdf,"Pergub Nomor 76 Tahun 2019.pdf"
"Peraturan Gubernur Nomor 79 Tahun 2019","Pedoman Penetapan Penghasilan Direksi, Dewan Pengawas dan Dewan Komisaris Badan Usaha Milik Daerah",publik,rtxar/QO3HeNIscLdxK9AU.pdf,"Pergub Nomor 79 Tahun 2019.pdf"
"Peraturan Gubernur Nomor 127 Tahun 2019","Rencana Bisnis dan Rencana Kerja dan Anggaran Badan Usaha Milik Daerah",publik,rtxar/GT02IeSCm4DdWKk1.pdf,"Pergub Nomor 127 Tahun 2019.pdf"
"Peraturan Gubernur Nomor 131 Tahun 2019","Pembinaan Badan Usaha Milik Daerah",publik,rtxar/ha8Ff1idm3Wu5TnN.pdf,"Pergub Nomor 131 Tahun 2019.pdf"
"Peraturan Gubernur No. 13 Tahun 2020","Komite Audit dan Komite Lainnya pada Badan Usaha Milik Daerah",publik,rtxar/5EwMZf7Vcnv1Gd8C.pdf,"Pergub Nomor 13 Tahun 2020.pdf"
"Peraturan Gubernur Nomor 92 Tahun 2020","Pengelolaan Investasi pada Badan Usaha Milik Daerah",publik,rtxar/yfgV6Gkdb3KuJo4w.pdf,"Pergub Nomor 92 Tahun 2020.pdf"
"Peraturan Gubernur No.62 Tahun 2021","Organisasi dan Tata Kerja Badan Pembinaan Badan Usaha Milik Daerah",publik,rtxar/DQbMijJf5GmIqVUs.pdf,"Pergub Nomor 62 Tahun 2020.pdf"
"Peraturan Gubernur Nomor 57 Tahun 2022","Organisasi Perangkat Daerah",publik,rtxar/L9BtEijUuY7gXZbM.pdf,"Pergub Nomor 57 Tahun 2022.pdf"
"Peraturan Gubernur Nomor 36 Tahun 2018","Pengelolaan Sistem Penyediaan Air Minum dengan Teknologi Reverse Osmosis di Pulau Untung Jawa Kabupaten Administrasi Kepulauan Seribu",publik,rtxar/cQbslAtIjzFqyvYP.pdf,"Pergub Nomor 36 Tahun 2018.pdf"
"Peraturan Gubernur Nomor 26 Tahun 2019","Pembelian Air Curah Sistem Penyediaan Air Minum Regional Jatiluhur 1",publik,rtxar/UsL3fRJFmTOCK9ut.pdf,"Pergub Nomor 26 Tahun 2019.pdf"
"Peraturan Gubernur Nomor 62 Tahun 2019","Pengelolaan Sistem Penyediaan Air Minum dengan Teknologi Sea Water Reverse Osmosis di Kabupaten Administrasi Kepulauan Seribu",publik,rtxar/TYNPJFs4u9dDUBKf.pdf,"Pergub Nomor 62 Tahun 2019.pdf"
"Keputusan Gubernur Nomor 1194 Tahun 2016","Impor Khusus Daging",publik,rtxar/K9Dew4nivVRhTjAx.pdf,"Kepgub Nomor 1194 Tahun 2016.pdf"
"Peraturan Gubernur Nomor 6 Tahun 2018","Penyediaan dan Pendistribusian Pangan Murah bagi Masyarakat Tertentu",publik,rtxar/4X1j9qncd8JtNfAY.pdf,"Pergub Nomor 6 Tahun 2018.pdf"
"Peraturan Gubernur Nomor 24 Tahun 2017","sebagaimana telah dua kali diubah yaitu dengan Pergub Nomor 49 Tahun 2018 dan Pergub Nomor 33 Tahun 2019  tentang Pembangunan Pasar di Kabupaten Administrasi Kepulauan Seribu",publik,rtxar/z9nDOlCFduAvWfIK.pdf,"Pergub Nomor 24 Tahun 2017.pdf"
"Keputusan Gubernur Nomor 715 Tahun 2017","Penyadiaan Lahan, Tempat Penampungan Sementara Pedagang dan Melakukan Pengelolaan Rumah Susun Pasar Minggu dan Rumah Susun Pasar Rumput Kota Administrasi Jakarta Selatan",publik,rtxar/XlWzOMIePaY30m5r.pdf,"Kepgub Nomor 715 Tahun 2017.pdf"
